
"Date",Price
"Oct 21, 2013",$900
"Nov 15, 2013",$1000
"Nov 24, 2013",$1100
"Dec 1, 2013",$900
"Dec 7, 2013",$800
"Dec 14, 2013",$750
"Dec 25, 2013",$850
"Jan 01, 2014",$650
"Jan 07, 2014",$600
"Jan 14, 2014",$550
"Jan 30, 2014",$500
"Feb 7, 2014",$450
"Feb 14, 2014",$380
"Feb 20, 2014",$420
"Feb 28, 2014",$480
"Mar 7, 2014",$500
"Mar 14, 2014",$525
"Mar 22, 2014",$500
"Apr 1, 2014",$520
"Apr 8, 2014",$550
"Apr 15, 2014",$480
"Apr 23, 2014",$450
"May 1, 2014",$420
"May 7, 2014",$450
"May 14, 2014",$400
"May 25, 2014",$450
