
"Date",Price
"Oct 21, 2013",$399
"Nov 15, 2013",$399
"Nov 24, 2013",$399
"Dec 1, 2013",$399
"Dec 7, 2013",$399
"Dec 14, 2013",$399
"Dec 25, 2013",$399
"Jan 01, 2014",$399
"Jan 07, 2014",$399
"Jan 14, 2014",$399
"Jan 30, 2014",$399
"Feb 7, 2014",$399
"Feb 14, 2014",$399
"Feb 20, 2014",$399
"Feb 28, 2014",$399
"Mar 7, 2014",$399
"Mar 14, 2014",$399
"Mar 22, 2014",$399
"Apr 1, 2014",$399
"Apr 8, 2014",$399
"Apr 15, 2014",$399
"Apr 23, 2014",$399
"May 1, 2014",$399
"May 7, 2014",$399
"May 14, 2014",$399
"May 25, 2014",$399
