"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 07, 2020","9,675.0","9,820.0","9,823.0","9,610.0","3.31M","-0.84%"
"Dec 04, 2020","9,757.0","9,800.0","9,824.0","9,703.0","3.46M","-0.08%"
"Dec 03, 2020","9,765.0","9,566.0","9,765.0","9,562.0","4.86M","1.53%"
"Dec 02, 2020","9,618.0","9,786.0","9,799.0","9,587.0","8.03M","-1.86%"
"Dec 01, 2020","9,800.0","9,804.0","9,925.0","9,756.0","5.66M","0.99%"
"Nov 30, 2020","9,704.0","9,800.0","9,840.0","9,704.0","8.99M","-1.10%"
"Nov 27, 2020","9,812.0","9,794.0","9,860.0","9,706.0","6.96M","0.59%"
"Nov 26, 2020","9,754.0","9,760.0","9,815.0","9,695.0","6.13M","-0.57%"
"Nov 25, 2020","9,810.0","9,500.0","9,854.0","9,489.0","12.11M","3.37%"
"Nov 24, 2020","9,490.0","9,415.0","9,499.0","9,388.0","7.48M","2.76%"
"Nov 20, 2020","9,235.0","9,200.0","9,235.0","9,104.0","4.57M","-0.15%"
"Nov 19, 2020","9,249.0","9,109.0","9,286.0","9,090.0","5.56M","0.13%"
"Nov 18, 2020","9,237.0","9,375.0","9,387.0","9,198.0","5.03M","-1.82%"
"Nov 17, 2020","9,408.0","9,480.0","9,483.0","9,335.0","5.59M","-0.87%"
"Nov 16, 2020","9,491.0","9,352.0","9,491.0","9,326.0","5.98M","1.77%"
"Nov 13, 2020","9,326.0","9,249.0","9,545.0","9,200.0","8.83M","1.81%"
"Nov 12, 2020","9,160.0","9,200.0","9,215.0","9,069.0","6.72M","1.33%"
"Nov 11, 2020","9,040.0","8,938.0","9,040.0","8,850.0","6.54M","1.35%"
"Nov 10, 2020","8,920.0","9,000.0","9,131.0","8,888.0","8.48M","-3.25%"
"Nov 09, 2020","9,220.0","9,250.0","9,269.0","9,175.0","5.46M","0.82%"
"Nov 06, 2020","9,145.0","9,284.0","9,300.0","9,140.0","6.01M","-0.91%"
"Nov 05, 2020","9,229.0","9,050.0","9,229.0","9,021.0","10.12M","3.66%"
"Nov 04, 2020","8,903.0","8,931.0","9,032.0","8,834.0","9.43M","1.54%"
"Nov 02, 2020","8,768.0","8,798.0","8,849.0","8,726.0","6.81M","1.08%"
"Oct 30, 2020","8,674.0","8,700.0","8,815.0","8,650.0","9.42M","-1.43%"
"Oct 29, 2020","8,800.0","8,500.0","8,827.0","8,497.0","19.20M","6.69%"
"Oct 28, 2020","8,248.0","8,117.0","8,249.0","8,091.0","6.09M","1.83%"
"Oct 27, 2020","8,100.0","7,930.0","8,111.0","7,906.0","5.39M","1.04%"
"Oct 26, 2020","8,017.0","7,890.0","8,065.0","7,880.0","3.93M","2.52%"
"Oct 23, 2020","7,820.0","7,784.0","7,859.0","7,746.0","3.16M","0.05%"
"Oct 22, 2020","7,816.0","7,800.0","7,846.0","7,785.0","3.30M","-1.01%"
"Oct 21, 2020","7,896.0","7,994.0","8,033.0","7,869.0","4.57M","-0.05%"
"Oct 20, 2020","7,900.0","7,859.0","7,973.0","7,813.0","4.56M","1.69%"
"Oct 19, 2020","7,769.0","7,666.0","7,833.0","7,647.0","4.25M","2.18%"
"Oct 16, 2020","7,603.0","7,700.0","7,709.0","7,564.0","5.38M","-1.99%"
"Oct 15, 2020","7,757.0","7,771.0","7,802.0","7,731.0","3.99M","-0.69%"
"Oct 14, 2020","7,811.0","7,860.0","7,879.0","7,777.0","4.38M","-1.25%"
"Oct 13, 2020","7,910.0","7,883.0","7,918.0","7,845.0","4.15M","1.83%"
"Oct 12, 2020","7,768.0","7,810.0","7,831.0","7,721.0","4.34M","-1.20%"
"Oct 09, 2020","7,862.0","7,850.0","7,922.0","7,837.0","4.88M","0.38%"
"Oct 08, 2020","7,832.0","7,753.0","7,850.0","7,733.0","4.34M","0.80%"
"Oct 07, 2020","7,770.0","7,800.0","7,812.0","7,729.0","4.32M","-0.74%"
"Oct 06, 2020","7,828.0","7,901.0","7,908.0","7,742.0","4.51M","-0.81%"
"Oct 05, 2020","7,892.0","7,822.0","7,929.0","7,756.0","5.36M","1.79%"
"Oct 02, 2020","7,753.0","8,015.0","8,103.0","7,710.0","9.22M","-3.47%"
"Sep 30, 2020","8,032.0","8,196.0","8,199.0","8,022.0","5.19M","-2.05%"
"Sep 29, 2020","8,200.0","8,191.0","8,244.0","8,161.0","4.76M","0.26%"
"Sep 28, 2020","8,179.0","8,130.0","8,179.0","8,083.0","4.94M","0.98%"
"Sep 25, 2020","8,100.0","8,192.0","8,209.0","8,100.0","6.31M","-0.67%"
"Sep 24, 2020","8,155.0","8,173.0","8,233.0","8,155.0","5.41M","-0.60%"
"Sep 23, 2020","8,204.0","8,337.0","8,348.0","8,159.0","7.14M","-1.43%"
"Sep 18, 2020","8,323.0","8,147.0","8,351.0","8,129.0","6.59M","2.35%"
"Sep 17, 2020","8,132.0","8,270.0","8,287.0","8,123.0","5.43M","-0.95%"
"Sep 16, 2020","8,210.0","8,097.0","8,210.0","7,993.0","7.41M","1.89%"
"Sep 15, 2020","8,058.0","8,290.0","8,343.0","7,972.0","9.85M","-2.41%"
"Sep 14, 2020","8,257.0","8,226.0","8,290.0","8,180.0","3.53M","0.56%"
"Sep 11, 2020","8,211.0","8,204.0","8,265.0","8,140.0","4.64M","-0.06%"
"Sep 10, 2020","8,216.0","8,226.0","8,384.0","8,161.0","6.04M","1.71%"
"Sep 09, 2020","8,078.0","8,085.0","8,111.0","8,012.0","5.73M","-1.91%"
"Sep 08, 2020","8,235.0","8,248.0","8,249.0","8,159.0","3.43M","0.45%"
