Listing Title,Price
NVIDIA MSI GeForce RTX 3080 Ventus 3X 10G OC Edition Graphics Card NEW In hand,1199.0
EVGA GeForce RTX 3080 XC3 ULTRA 10GB GDDR6X Graphics Card Sealed In Hand TRUSTED,807.0
EVGA RTX 3080 XC3 ULTRA - IN HAND,1250.0
NVIDIA GEFORCE RTX 3080 10GB GDDR6X FE FOUNDERS EDITION - IN HAND READY TO SHIP,1500.0
NVIDIA GeForce RTX 3080 10GB GDDR6 Graphics Paper Card,950.0
Gigabyte GeForce RTX 3080 Gaming OC + Gigabyte PSU COMBO + COD + Extra,1299.0
EVGA GeForce RTX 3080 XC3 Black 10GB GDDR6X Graphics Card IN HAND Factory Sealed,1149.0
NVIDIA GeForce RTX 3080 Founders Edition. *In-Hand Ready To Ship ASAP,1649.99
GIGABYTE AORUS Master GeForce RTX 3080 DirectX12 FV-N3080 M-10GD Video Card,1325.0
GIGABYTE AORUS GeForce RTX 3080 XTREME 10GB GDDR6X Graphics Card - FREE SHIP!,1698.98
EVGA GeForce RTX 3080 XC3 ULTRA 10GB GDDR6X Graphics Card - Ships Quick!,1200.0
*NEW* Nvidia EVGA Geforce RTX 3080 XC3 Ultra RayTracing Ready,1125.0
EVGA GeForce RTX 3080 XC3 ULTRA GAMING 10GB GDDR6X Graphics Card 10G-P5-3885-KR,1199.0
GIGABYTE AORUS GeForce RTX 3080 IN HAND,1350.0
GIGABYTE GeForce RTX 3080 VISION OC - IN HAND,1250.0
RTX 3080 **TRUSTED SELLER** EVGA GEFORCE RTX 3080 FTW3 ULTRA GAMING!!!,980.0
EVGA GeForce RTX 3080 FTW3 ULTRA Graphics Card - IN HAND - FREE PRIORITY,1295.99
EVGA GeForce RTX 3080 XC3 ULTRA Graphics Card - Same Day Free Shipping!,1200.0
*NEW* GIGABYTE GeForce RTX 3080 VISION OC 10GB GDDR6X GPU *PRE-ORDER 12/14*,1243.99
Gigabyte nvidia geforce rtx 3080,520.0
GIGABYTE AORUS GeForce RTX 3080 MASTER 10GB GDDR6X Graphics Card,1349.95
ASUS TUF Gaming GeForce RTX 3080 OC 10GB GDDR6X Graphics Card,1275.0
ASUS TUF Gaming GeForce RTX 3080 OC 10GB GDDR6X Graphics Card,1000.0
Nvidia GeForce RTX 3080 FE Founders Edition - In Hand - Ready To Ship,1000.0
ASUS ROG Strix GeForce RTX 3080 10GB GDDR6X Graphics Card *FAST SHIP! Confirm,1450.0
EVGA GeForce RTX 3080 FTW3 Ultra Gaming Triple-Fan 10GB ~~Quick Ship~~,1025.0
GIGABYTE AORUS GeForce RTX 3080 XTREME WATERFORCE 10G Graphics Card,1499.0
NVIDIA GeForce RTX 3080 10GB GDDR6 Graphics Card (READ DESCRIPTION)NO REFUND,499.0
NVIDIA GeForce RTX 3080 Founders Edition NEW UNOPENED FREE FAST SHIPPING,1209.0
IN HAND🔥 ASUS TUF Gaming GeForce RTX 3080 🚚 FREE 2 DAY SHIPPING,1350.0
MSI Gaming Trio GeForce RTX 3080 10GB GDRR6X PCIE GEN 4 NVIDIA Graphics Card NEW,1299.95
EVGA GeForce RTX 3080 FTW3 ULTRA  10G-P5-3897-KR  In Stock Today!!!,1225.0
Brand New EVGA GeForce RTX 3080 XC3 Black 10GB GDDR6X Graphics Card,1259.99
EVGA GeForce RTX 3080 FTW3 ULTRA 10GB GDDR6X Graphics Card 10G-P5-3897-KR,1399.95
EVGA GeForce RTX 3080 XC3 ULTRA 10GB GDDR6X Graphics Card SEALED--FAST SHIP,960.0
NVIDIA GEFORCE RTX 3080 FE FOUNDERS EDITION Ready to Ship ,1025.0
rtx 3080 founders,100.0
EVGA GeForce RTX 3080 XC3 ULTRA 10GB GDDR6X Graphics Card Bot scalper deterrent,775.0
EVGA GeForce RTX 3080 FTW3 ULTRA 10GB Graphics Card | IN HAND | SHIPS FAST,1395.0
GIGABYTE AORUS GeForce RTX 3080 XTREME WATERFORCE w/ Codes | SHIPS FREE,1695.0
EVGA GeForce RTX 3080 FTW3 ULTRA GAMING 10G-P5-3897-KR | IN-HAND | Ready To Ship,1300.0
NVIDIA MSI GeForce RTX 3080 Ventus 3X 10G OC Edition Graphics Card NEW In hand,1600.0
EVGA GeForce RTX 3080 XC3 ULTRA 10GB GDDR6X Graphics Card SEALED--FAST SHIP,910.0
NVIDIA GeForce RTX 3080 Founders Edition Brand New In Hand!!,1699.0
NVIDIA GEFORCE RTX 3080 FE FOUNDERS EDITION - READY TO SHIP,1525.0
EVGA GeForce RTX 3080 XC3 ULTRA Hybrid 10GB GDDR6X open to verify item condition,1000.0
ASUS TUF Gaming NVIDIA GeForce RTX 3080 OC Aura Sync Graphics Card  *IN-HAND*,1350.0
NVIDIA RTX 3080 / 3090 ANTI-SCALPER / ANTI-BOT SHADES,15.0
Gigabyte GeForce RTX 3080 Gaming OC 10G Graphics Card - BestBuy order confirmed,787.0
[ CHECK**COMES w FREE ITEMS]ASUS ROG Strix RTX 3080 OC 10GB GDDR6X Graphics Card,1750.0
GIGABYTE AORUS GeForce RTX 3080 XTREME WATERFORCE BRAND NEW | SHIPS FREE,1100.0
NVIDIA GeForce RTX 3080 10GB GDDR6 Graphics Card (9001G1332530000) *SEALED*,1025.0
ASUS GEFORCE TUF RTX 3080 OC PCIE 4.0 10GB GDDR6X,1499.99
EVGA GeForce RTX 3080 XC3 Ultra Hybrid Gaming,1125.0
ZOTAC GAMING GeForce RTX 3080 AMP Holo Graphics Card *IN-HAND/FAST SHIPPING*,530.0
EVGA  Geforce RTX 3080 xc3 ultra,800.0
ASUS TUF Gaming NVIDIA GeForce RTX 3080 OC Edition *IN HAND SHIPS SAME DAY*,1134.0
MSI GeForce RTX 3080 GAMING X TRIO 10GB GDDR6X Graphics Card  NEW Sealed!,1025.0
Gigabyte AORUS GeForce RTX 3080 XTREME,1350.0
NIB Nvidia RTX 3080 Asus ROG Strix OC edition,1675.0
NVIDIA GeForce RTX 3080 10GB GDDR6 Graphics Card (9001G1332530000),580.0
ZOTAC GAMING GeForce RTX 3080 AMP Holo 10GB GDDR6X Graphics Card IN HAND,906.0
GIGABYTE GeForce RTX™ 3080 VISION OC - IN HAND - FAST SHIPPING - Offers Accepted,1125.0
EVGA GeForce RTX 3080 XC3 Black 10GB GDDR6X GPU -- Sealed IN-HAND  SHIPS ASAP,880.0
*** NVIDIA EVGA RTX 3080 FTW3 ULTRA GAMING VIDEO CARD ***,1099.0
EVGA GeForce RTX 3080 XC3 ULTRA 10GB GDDR6X Graphics Card,51.0
EVGA GeForce RTX 3080 FTW3 Ultra Gaming - IN HAND - FAST SHIPPING - OFFER ACCEPT,1275.0
NVIDIA GEFORCE RTX 3080 FE FOUNDERS EDITION Ready to Ship ,1324.0
MSI GeForce RTX 3080 GAMING X TRIO 10gb NEW IN BOX **IN HAND SHIPS FREE TODAY**,1050.0
NVIDIA GeForce RTX 3080 FE 10GB GDDR6 Graphics Card (9001G1332530000),1034.0
ZOTAC GAMING GeForce RTX 3080 AMP Holo 10GB GDDR6X Graphics Card ***IN HAND***,1000.0
*TRUSTED SELLER* EVGA GEFORCE RTX 3080 FTW3 ULTRA GAMING COD BLACK OPS INCLUDED!,950.0
GIGABYTE GeForce RTX 3080 VISION OC 10GB GDDR6X Graphics Card - White IN HAND,970.0
EVGA GeForce RTX 3080 XC3 ULTRA 10GB GDDR6X NEW,931.0
EVGA RTX 3080 FTW3 Ultra Gaming,987.0
NVIDIA GeForce RTX 3080 TI,450.0
GIGABYTE NVIDIA GeForce RTX 3080 10GB GDDR6 Graphics Card (GVN3080READDES C10GD),650.0
GIGABYTE AORUS GeForce RTX 3080 MASTER 10GB GDDR6X Graphics Card - FREE SHIP!,1005.0
IN HAND Gigabyte GeForce RTX 3080 Gaming OC 10G Graphics Card READ DESC.,1105.0
EVGA GeForce RTX 3080 XC3 Black 10GB GDDR6X Graphics Card,950.0
AORUS GeForce RTX 3080 XTREME WATERFORCE - WATER BLOCK INSTALLED - IN HAND,1375.0
EVGA GeForce RTX 3080 FTW3 ULTRA 10GB GDDR6X Graphics Card,1150.0
NVIDIA GeForce RTX 3080 10GB gpu - (READ DESCRIPTION),120.0
EVGA GeForce RTX 3080 XC3 ULTRA 10GB Graphics Card + CoD: Black Ops Cold War,905.0
EVGA GeForce RTX 3080 FTW3 ULTRA 10GB GDDR6X Graphics Card *IN HAND*,1055.0
GIGABYTE GeForce RTX 3080 VISION OC 10GB GDDR6X Graphics Card - FREE SHIPPING!,960.0
*IN HAND* EVGA GeForce RTX 3080 FTW3 ULTRA 10GB GDDR6X Graphics Card - BNIB,1100.0
RTX 3080 Founders Edition  Brand new unopened  Will ship immediately,1300.0
Nvidia RTX 3080 - Founders Edition [IN HAND  READY TO SHIP]  Includes Game Code,1300.0
GIGABYTE GeForce RTX 3080 VISION OC 10GB GDDR6X Graphics Card w/ Priority Ship,1159.0
NVIDIA GeForce RTX 3080 10GB GDDR6 Graphics Card (9001G1332530000),2000.0
Nvidia GeForce RTX 3080 Founders Edition Graphics Card Brand New Ready To Ship,1899.99
NVIDIA GeForce RTX 3080 TI ,1025.0
MSI GeForce RTX 3080 GAMING X TRIO 10GB GDDR6X Graphics Card -USPS Priority-,920.0
NVIDIA GeForce RTX 3080 10GB GDDR6 Graphics Card (JPEG EDITION READ DESCRIPTION),800.0
ZOTAC GAMING GeForce RTX 3080 Trinity OC **IN HAND**SHIPS TODAY**FAST SHIPPING**,1200.0
3080 EVGA RTX FTW3 Ultra 3080 **Factory Sealed** **FAST SHIPPING**,1260.0
MSI NVIDIA GeForce RTX 3080 GAMING X TRIO 11GB Graphics Card read description,773.0
GIGABYTE GeForce RTX 3080 VISION OC 10GB GDDR6X Graphics Card w/ Priority Ship,1299.0
EVGA GeForce RTX 3080 FTW3 ULTRA GAMING 10GB GDDR6X [BRAND NEW  ORDER CONFIRMED],955.0
EVGA GeForce RTX 3080 XC3 ULTRA 10GB GDDR6X Graphics Card,920.0
ASUS RTX 3080 ROG STRIX OC SAME DAY OVERNIGHT SHIP,1650.0
EVGA GeForce RTX 3080 XC3 ULTRA 10GB GDDR6X Graphics Card,895.0
EVGA GeForce RTX 3080 XC3 ULTRA 10GB GDDR6X Graphics Card FACTORY SEALED,1219.0
Nvidia GeForce RTX 3080 Founders Edition **CONFIRMED** TRUSTED SELLER,2249.99
GIGABYTE GeForce RTX 3080 GAMING OC Edition In Hand Ready to Ship Immediately,1300.0
