date,price
1/1/2019,400
1/2/2019,400
1/3/2019,400
1/4/2019,400
1/5/2019,400
1/6/2019,400
1/7/2019,400
1/8/2019,400
1/9/2019,400
1/10/2019,400
1/11/2019,400
1/12/2019,400
1/13/2019,400
1/14/2019,400
1/15/2019,400
1/16/2019,400
1/17/2019,400
1/18/2019,400
1/19/2019,400
1/20/2019,400
1/21/2019,400
1/22/2019,400
1/23/2019,400
1/24/2019,400
1/25/2019,400
1/26/2019,400
1/27/2019,400
1/28/2019,400
1/29/2019,400
1/30/2019,400
1/31/2019,400
2/1/2019,400
2/2/2019,400
2/3/2019,400
2/4/2019,400
2/5/2019,400
2/6/2019,400
2/7/2019,400
2/8/2019,400
2/9/2019,400
2/10/2019,400
2/11/2019,400
2/12/2019,400
2/13/2019,400
2/14/2019,400
2/15/2019,400
2/16/2019,400
2/17/2019,400
2/18/2019,400
2/19/2019,400
2/20/2019,400
2/21/2019,400
2/22/2019,400
2/23/2019,400
2/24/2019,400
2/25/2019,400
2/26/2019,400
2/27/2019,400
2/28/2019,400
3/1/2019,400
3/2/2019,400
3/3/2019,400
3/4/2019,400
3/5/2019,400
3/6/2019,400
3/7/2019,400
3/8/2019,400
3/9/2019,400
3/10/2019,400
3/11/2019,400
3/12/2019,400
3/13/2019,400
3/14/2019,400
3/15/2019,400
3/16/2019,400
3/17/2019,400
3/18/2019,400
3/19/2019,400
3/20/2019,400
3/21/2019,400
3/22/2019,400
3/23/2019,400
3/24/2019,400
3/25/2019,400
3/26/2019,400
3/27/2019,400
3/28/2019,400
3/29/2019,400
3/30/2019,400
3/31/2019,400
4/1/2019,400
4/2/2019,400
4/3/2019,400
4/4/2019,400
4/5/2019,400
4/6/2019,400
4/7/2019,400
4/8/2019,400
4/9/2019,400
4/10/2019,400
4/11/2019,400
4/12/2019,400
4/13/2019,400
4/14/2019,400
4/15/2019,400
4/16/2019,400
4/17/2019,400
4/18/2019,400
4/19/2019,400
4/20/2019,400
4/21/2019,400
4/22/2019,400
4/23/2019,400
4/24/2019,400
4/25/2019,400
4/26/2019,400
4/27/2019,400
4/28/2019,400
4/29/2019,400
4/30/2019,400
5/1/2019,400
5/2/2019,400
5/3/2019,400
5/4/2019,400
5/5/2019,400
5/6/2019,400
5/7/2019,400
5/8/2019,400
5/9/2019,400
5/10/2019,400
5/11/2019,400
5/12/2019,400
5/13/2019,400
5/14/2019,400
5/15/2019,400
5/16/2019,400
5/17/2019,400
5/18/2019,400
5/19/2019,400
5/20/2019,400
5/21/2019,400
5/22/2019,400
5/23/2019,400
5/24/2019,400
5/25/2019,400
5/26/2019,400
5/27/2019,400
5/28/2019,400
5/29/2019,400
5/30/2019,400
5/31/2019,400
6/1/2019,400
6/2/2019,400
6/3/2019,400
6/4/2019,400
6/5/2019,400
6/6/2019,400
6/7/2019,400
6/8/2019,400
6/9/2019,400
6/10/2019,400
6/11/2019,400
6/12/2019,400
6/13/2019,400
6/14/2019,400
6/15/2019,400
6/16/2019,400
6/17/2019,400
6/18/2019,400
6/19/2019,400
6/20/2019,400
6/21/2019,400
6/22/2019,400
6/23/2019,400
6/24/2019,400
6/25/2019,400
6/26/2019,400
6/27/2019,400
6/28/2019,400
6/29/2019,400
6/30/2019,400
7/1/2019,400
7/2/2019,400
7/3/2019,400
7/4/2019,400
7/5/2019,400
7/6/2019,400
7/7/2019,400
7/8/2019,400
7/9/2019,400
7/10/2019,400
7/11/2019,400
7/12/2019,400
7/13/2019,400
7/14/2019,400
7/15/2019,400
7/16/2019,400
7/17/2019,400
7/18/2019,400
7/19/2019,400
7/20/2019,400
7/21/2019,400
7/22/2019,400
7/23/2019,400
7/24/2019,400
7/25/2019,400
7/26/2019,400
7/27/2019,400
7/28/2019,400
7/29/2019,400
7/30/2019,400
7/31/2019,400
8/1/2019,400
8/2/2019,400
8/3/2019,400
8/4/2019,400
8/5/2019,400
8/6/2019,400
8/7/2019,400
8/8/2019,400
8/9/2019,400
8/10/2019,400
8/11/2019,400
8/12/2019,400
8/13/2019,400
8/14/2019,400
8/15/2019,400
8/16/2019,400
8/17/2019,400
8/18/2019,400
8/19/2019,400
8/20/2019,400
8/21/2019,400
8/22/2019,400
8/23/2019,400
8/24/2019,400
8/25/2019,400
8/26/2019,400
8/27/2019,400
8/28/2019,400
8/29/2019,400
8/30/2019,400
8/31/2019,400
9/1/2019,400
9/2/2019,400
9/3/2019,400
9/4/2019,400
9/5/2019,400
9/6/2019,400
9/7/2019,400
9/8/2019,400
9/9/2019,400
9/10/2019,400
9/11/2019,400
9/12/2019,400
9/13/2019,400
9/14/2019,400
9/15/2019,400
9/16/2019,400
9/17/2019,400
9/18/2019,400
9/19/2019,400
9/20/2019,400
9/21/2019,400
9/22/2019,400
9/23/2019,400
9/24/2019,400
9/25/2019,400
9/26/2019,400
9/27/2019,400
9/28/2019,400
9/29/2019,400
9/30/2019,400
10/1/2019,400
10/2/2019,400
10/3/2019,400
10/4/2019,400
10/5/2019,400
10/6/2019,400
10/7/2019,400
10/8/2019,400
10/9/2019,400
10/10/2019,400
10/11/2019,400
10/12/2019,400
10/13/2019,400
10/14/2019,400
10/15/2019,400
10/16/2019,400
10/17/2019,400
10/18/2019,400
10/19/2019,400
10/20/2019,400
10/21/2019,400
10/22/2019,400
10/23/2019,400
10/24/2019,400
10/25/2019,400
10/26/2019,400
10/27/2019,400
10/28/2019,400
10/29/2019,400
10/30/2019,400
10/31/2019,400
11/1/2019,400
11/2/2019,400
11/3/2019,400
11/4/2019,400
11/5/2019,400
11/6/2019,400
11/7/2019,400
11/8/2019,400
11/9/2019,400
11/10/2019,400
11/11/2019,400
11/12/2019,400
11/13/2019,400
11/14/2019,400
11/15/2019,400
11/16/2019,400
